Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201910,09,733000,005,    ,00000 ,87910 ,9975 ,999,99999, , ,06798      ,1,1,10,Woodbury town,1,1,450000,0,0,0,0,0,0,0,0,0,1,1,450000,0,0,0,0,0,0,0,0,0
201910,23,002000,031,    ,00000 ,00275 ,2447 ,438,38860, , ,04001      ,1,1,0,Acton town,14,14,2685956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,23,003000,029,    ,00000 ,00380 ,1266 ,999,99999, , ,04606      ,1,1,0,Addison town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,23,005000,029,    ,00000 ,00660 ,499 ,999,99999, , ,04694      ,1,1,0,Alexander town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,23,011000,003,    ,00000 ,01220 ,238 ,999,99999,2, ,04471      ,1,1,0,Amity town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,23,015000,013,    ,00000 ,01465 ,1316 ,999,99999, , ,04862      ,1,1,2,Appleton town,5,5,865790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,23,018000,031,    ,00000 ,01605 ,4022 ,438,38860, , ,04046      ,1,1,10,Arundel town,25,25,6787000,0,0,0,0,0,0,0,0,0,25,25,6787000,0,0,0,0,0,0,0,0,0
201910,23,022000,001,0150,02060 ,02060 ,23055 ,438,30340, ,1,04210      ,1,1,10,Auburn,13,13,3556764,1,2,200000,0,0,0,1,53,9350000,13,13,3556764,1,2,200000,0,0,0,1,53,9350000
201910,23,023000,011,0200,02100 ,02100 ,19136 ,999,99999, , ,04330      ,1,1,5,Augusta,22,22,3900696,0,0,0,0,0,0,4,20,2620688,8,8,1849976,0,0,0,0,0,0,0,0,0
201910,23,027000,005,    ,00000 ,02655 ,1525 ,438,38860, , ,04091      ,1,1,7,Baldwin town,7,7,1279833,0,0,0,0,0,0,0,0,0,5,5,1069000,0,0,0,0,0,0,0,0,0
201910,23,029000,019,0250,02795 ,02795 ,33039 ,999,12620, ,1,04401      ,1,1,9,Bangor,15,15,3347456,2,4,531952,0,0,0,0,0,0,12,12,2802844,2,4,531952,0,0,0,0,0,0
201910,23,030000,009,    ,00000 ,02865 ,5235 ,999,99999, , ,04609      ,1,1,9,Bar Harbor town,26,26,8247882,0,0,0,0,0,0,0,0,0,23,23,7338615,0,0,0,0,0,0,0,0,0
