Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,23,119000,031,    ,00000 ,16725 ,1965 ,438,38860, , ,04005      ,1,1,3,Dayton town,1,1,160000,0,0,0,0,0,0,0,0,0
201706,23,121000,009,    ,00000 ,16935 ,1681 ,999,99999,2, ,04429      ,1,1,4,Dedham town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,146000,009,1750,23200 ,23200 ,7741 ,999,99999, , ,04605      ,1,1,1,Ellsworth,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,153000,005,    ,00000 ,24495 ,11185 ,438,38860, , ,04105      ,1,1,5,Falmouth town,7,7,1844741,0,0,0,0,0,0,0,0,0
201706,23,156000,011,    ,00000 ,24950 ,1140 ,999,99999, , ,04349      ,1,1,5,Fayette town,1,1,159000,0,0,0,0,0,0,0,0,0
201706,23,163000,005,    ,00000 ,26525 ,7879 ,438,38860, , ,04032      ,1,1,5,Freeport town,5,5,1211666,0,0,0,0,0,0,0,0,0
201706,23,171000,023,    ,00000 ,27295 ,1042 ,438,38860, , ,045480280  ,1,1,5,Georgetown town,1,1,213892,0,0,0,0,0,0,0,0,0
201706,23,173000,019,    ,00000 ,27645 ,4594 ,999,12620, , ,04401      ,1,1,3,Glenburn town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,175000,005,    ,00000 ,28240 ,16381 ,438,38860, , ,04038      ,1,1,5,Gorham town,9,9,1899559,0,0,0,0,0,0,0,0,0
201706,23,179000,005,    ,00000 ,28870 ,7761 ,438,38860, , ,04039      ,1,1,3,Gray town,4,4,690000,2,4,529000,0,0,0,0,0,0
201706,23,190000,019,    ,00000 ,30795 ,7257 ,999,12620, , ,04444      ,1,1,3,Hampden town,3,3,975000,0,0,0,0,0,0,0,0,0
201706,23,192000,009,    ,00000 ,30970 ,2394 ,999,99999, , ,04640      ,1,1,4,Hancock town,1,1,267838,0,0,0,0,0,0,0,0,0
201706,23,195000,005,    ,00000 ,31390 ,4740 ,438,38860, , ,04079      ,1,1,5,Harpswell town,3,3,928199,0,0,0,0,0,0,0,0,0
201706,23,202000,019,    ,00000 ,32510 ,5416 ,999,12620, , ,044026300  ,1,1,1,Hermon town,3,3,695000,0,0,0,0,0,0,0,0,0
201706,23,209000,013,    ,00000 ,33840 ,1536 ,999,99999, , ,04847      ,1,1,5,Hope town,1,1,126312,0,0,0,0,0,0,0,0,0
201706,23,220000,015,    ,00000 ,35695 ,2427 ,999,99999, , ,04348      ,1,1,1,Jefferson town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,225000,031,    ,00000 ,36535 ,10798 ,438,38860, , ,04043      ,1,1,3,Kennebunk town,5,5,1282940,0,0,0,0,0,0,0,0,0
201706,23,226000,031,    ,00000 ,36745 ,3474 ,438,38860, , ,04046      ,1,1,3,Kennebunkport town,4,4,1304000,0,0,0,0,0,0,0,0,0
201706,23,229000,031,    ,00000 ,37270 ,9490 ,438,38860, , ,03904      ,1,1,5,Kittery town,4,4,805483,1,2,348750,0,0,0,0,0,0
